Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
LOC119054940,26.21055889,-0.239298554,0.280428521,0.075512802,0.211270882
HFE,791.2508255,-0.027490823,0.079124645,0.726828312,0.85777316
LOC119054938,0.605938015,-0.002095715,0.21489164,0.988403275,NA
H1-6,0.708705196,-0.003656795,0.214201186,0.786670703,NA
LOC119054929,104.3441317,0.077854564,0.185099968,0.47376493,0.681363331
LOC119054927,5.331121383,-0.037574202,0.211825278,0.493964874,NA
LOC119054912,66.83931857,0.022956649,0.185134043,0.801171833,0.899690042
LOC119054916,2.85602418,-0.020490221,0.213849422,0.527825046,NA
LOC119054935,0.500717761,0.006619775,0.214377582,0.810810594,NA
LOC119054934,0.357005962,-0.001139544,0.214930609,0.994358699,NA
LOC119054936,6.169967983,-0.043533189,0.216040076,0.361897495,NA
LOC119054919,4.311708748,0.061550107,0.223062356,0.1824535,NA
LOC119054920,7.270777761,0.005652445,0.206659924,0.920502948,0.960747942
LOC119054924,0.317729989,0.001595012,0.214719624,0.882174733,NA
LOC119054932,0.357981833,0.009080724,0.214956159,0.781782839,NA
LOC119054930,4.292614827,0.00392856,0.210100511,0.917158389,NA
LOC119054926,1.399770932,0.003552751,0.213618858,0.920662431,NA
LOC119054939,31.6573938,0.057606545,0.200232357,0.515339869,0.712397489
LOC119054915,2.905055076,-0.039530269,0.216318111,0.357108753,NA
LOC119054894,0.247696461,-0.001155269,0.214936242,0.995315547,NA
LOC119054892,0.283222942,-0.001506902,0.214921026,0.993612789,NA
LOC119054893,0.299364216,0.007622315,0.214986723,0.774627518,NA
LOC119054995,1.886964708,-0.033450971,0.216024046,0.333603124,NA
LOC119040914,0.857563489,-0.009528933,0.213559386,0.708237475,NA
LOC119039144,12.53338586,-0.030879596,0.201887366,0.679005528,0.828620864
LOC119040908,0.418615368,0.00572692,0.214407411,0.867570078,NA
LOC119040906,22.44198736,-0.24171288,0.306791282,0.068723227,0.196937376
LOC119039142,2.041888975,-0.024378059,0.213325931,0.529199997,NA
HMGN4,5.603166975,-0.033925517,0.210699901,0.553730819,NA
LOC119039145,12.12062525,0.108975702,0.224923164,0.237796503,0.453777984
TRNAP-AGG_1,0.19931808,0.003447946,0.214888716,0.904353813,NA
TRNAA-AGC_3,0.520978614,0.005523573,0.213981314,0.849402848,NA
