Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
KDM5A,2423.523053,0.018596747,0.076457845,0.774003134,0.913816041
CCDC77,453.925311,-0.121043354,0.092052097,0.086511388,0.293123494
B4GALNT3,1041.387491,0.007621591,0.088393163,0.875973134,0.957429327
LOC128626955,1.550628026,0.003650774,0.128457937,0.723276531,NA
NINJ2,5.245612052,0.000371777,0.127073958,0.999789685,NA
WNK1,6703.781463,0.014970662,0.059791324,0.778213306,0.915423794
RAD52,190.9323652,0.105480001,0.104460758,0.160645313,0.423637237
ERC1,1452.743155,-0.054284993,0.076664862,0.497214044,0.753263329
WNT5B,188.9582339,-0.000197649,0.097927422,0.996651434,0.998452139
FBXL14,413.0064342,-0.025122035,0.076761101,0.697558725,0.87310297
ADIPOR2,1203.847347,0.142446891,0.069818096,0.017341345,0.102102575
CACNA2D4,5.52838799,0.001082049,0.126755784,0.959957528,NA
LOC119051683,2.963681458,0.006389225,0.127877051,0.703690467,NA
LRTM2,6.066146706,0.068775815,0.15538937,0.009511601,NA
DCP1B,761.6057409,-0.067050605,0.065831014,0.215107189,0.495697121
CACNA1C,2378.989553,-0.063147173,0.121721364,0.319125053,0.604720206
C1QTNF9,7.408225599,-0.033102072,0.133168254,0.144591592,NA
SPATA13,400.0590883,-0.260447939,0.112811795,0.002897381,0.027370588
AMER2,34.31518401,-0.038939695,0.125278639,0.436624329,0.709052326
LOC128627030,0.550140206,0.00051402,0.128696688,0.924703365,NA
UGT2A1,83.39087753,-0.090746183,0.15002504,0.136648162,0.385106239
LOC119043925,0.736420822,-0.000663411,0.128664801,0.914169204,NA
ARHGEF5,13.94748361,0.025641077,0.126963753,0.47878099,NA
NOBOX,3.097684044,-0.012441723,0.128510835,0.466315828,NA
TPK1,148.1118999,-0.054606932,0.10048533,0.389315872,0.668873488
LOC128627069,2.943043475,-0.000608729,0.127887876,0.968257383,NA
LOC128627068,8.602252936,-0.003520624,0.12602434,0.896333337,NA
LOC128627072,73.99245196,-0.129007193,0.154604517,0.093239819,0.30642856
ZNF354A,2425.18154,0.08169712,0.055582792,0.105442092,0.330881644
SMURF1,675.2125688,0.112895919,0.095688644,0.112374178,0.343423891
KPNA7,0.168978499,-0.000326662,0.128830306,0.978321103,NA
TRRAP,8670.11939,-0.117502095,0.073510184,0.05637587,0.223279959
LOC119062981,2.716943708,0.001167871,0.127245381,0.966960576,NA
LOC128627176,0.771584327,-0.004801621,0.128702788,0.600685108,NA
LOC119052713,706.514344,-0.016798717,0.074335774,0.804018122,0.928089606
HIGD2A,200.0449606,0.015769723,0.096712317,0.821928901,0.936637259
CLTB,1066.648186,0.211081887,0.077049281,0.002059213,0.021212552
LOC128627103,8.885968043,0.045124268,0.135183979,0.195906988,NA
FAF2,976.3187739,0.155685006,0.063944856,0.005709093,0.045820054
RNF44,1273.744367,-0.105039827,0.073174996,0.086149538,0.292560113
CDHR2,1072.657547,0.056720822,0.122902908,0.348370454,0.632242551
GPRIN1,3.160702796,-0.009424964,0.12796871,0.610773599,NA
SNCB,6.885562039,-0.025641818,0.129008185,0.375310214,NA
TSPAN17,633.3921654,-0.021080905,0.076043527,0.710835448,0.880079022
UNC5A,1.294444055,-0.00273815,0.128198607,0.80648816,NA
HK3,40.01580708,0.002151806,0.122650043,0.947106494,0.98262684
UIMC1,363.8379032,-0.028322931,0.072584834,0.635802229,0.844491774
ZNF346,214.0217004,0.023899243,0.089408575,0.718089623,0.883766041
FGFR4,234.4780824,-0.003412198,0.102071296,0.935260104,0.978906322
LOC119035150,27.36274668,-0.002049958,0.119867868,0.967079604,0.98886836
LOC119035162,6.830305744,-0.03010738,0.130985209,0.26040642,NA
LOC119035164,0.619554237,0.006687653,0.128942265,0.361720971,NA
NSD1,4171.631432,0.004362663,0.081687457,0.945883176,0.981996756
RAB24,543.533018,0.135724051,0.078141242,0.032167479,0.154512941
PRELID1,1736.003531,-0.073195619,0.084656761,0.272738136,0.561185778
MXD3,33.14670802,-0.594047113,0.274633013,0.001257621,0.014462078
LOC128627128,55.5513251,0.083127716,0.139471723,0.188832323,0.462912082
LMAN2,1117.564589,0.214995431,0.066060843,0.000320367,0.004928399
RGS14,59.93139537,0.035017769,0.116273439,0.588714462,0.814597353
SLC34A1,4.73013699,-0.041301011,0.137211093,0.04350774,NA
PFN3,3.881761477,-0.01361751,0.12850733,0.476210201,NA
F12,4.697408643,-0.009783711,0.127185998,0.659829715,NA
GRK6,823.3259655,-0.045316956,0.070510354,0.458163769,0.725854617
PRR7,33.54341051,-0.041867249,0.127606555,0.372107633,0.653198712
DBN1,5277.464367,-0.339072547,0.06472792,1.17E-08,6.55E-07
PDLIM7,6991.924135,-0.060046869,0.074087781,0.310573239,0.597797507
DOK3,25.86603345,-0.031523585,0.122488133,0.513729163,0.765276247
DDX41,727.3661102,-0.007601572,0.085435035,0.905440961,0.968607667
FAM193B,437.9179499,-0.060263378,0.088924145,0.341470316,0.6264485
TMED9,2092.031903,0.335488852,0.058249279,7.35E-10,4.93E-08
B4GALT7,437.7401974,0.261104356,0.100243507,0.001434829,0.015995088
LOC128627174,0.182055887,-9.95E-05,0.128832325,0.978990302,NA
N4BP3,21.41490539,-0.019372477,0.122930937,0.642785409,0.848654384
RMND5B,231.4743791,-0.104111987,0.112679522,0.155558525,0.415811751
NHP2,505.80332,-0.070319649,0.087489807,0.288383405,0.576269753
HNRNPAB,4692.317244,-0.231777789,0.059122411,1.40E-05,0.000357116
PHYKPL,157.5638301,-0.061928781,0.11500036,0.352292557,0.636026467
COL23A1,643.7241076,0.073008796,0.08288084,0.273791786,0.56169917
CLK4,1444.256992,0.091518048,0.082119375,0.160460087,0.42341144
LOC119055211,402.6493783,0.225702565,0.182519869,0.024757873,0.130254601
RACK1,13316.15982,-0.00916505,0.065108525,0.793548018,0.923199952
LOC119055282,9.966259377,0.002014652,0.124702406,0.957262171,NA
LOC119055276,47.37201759,-0.181234924,0.23561948,0.038145168,0.173675591
TRIM41,1122.66173,0.118784781,0.063077367,0.030555968,0.149877022
TRIM7,6.84399804,0.008078649,0.126185228,0.765826708,NA
LOC119060425,0.306633197,-0.001497742,0.128832854,0.814504652,NA
SMAP1,1288.694551,0.113757835,0.052009308,0.016723576,0.099615024
B3GAT2,40.90692241,0.054122801,0.126213906,0.328071259,0.614014201
OGFRL1,637.030314,0.460288936,0.164296967,0.000328686,0.005014032
LOC119040711,66.60028231,-0.173760939,0.247202048,0.037768895,0.172516734
RIMS1,656.0893259,0.056280109,0.109844681,0.487768446,0.746903075
LOC119050786,3.385558516,0.00656404,0.127831982,0.680000354,NA
KCNQ5,328.8940949,0.171840616,0.215657093,0.047428665,0.201026856
KHDC3L,1.291530469,0.011762387,0.128882289,0.412279673,NA
LOC119050929,0.252056798,-0.000982862,0.1288329,0.852036023,NA
CGAS,3.275795526,-0.013269262,0.129224486,0.290817063,NA
MTO1,275.4310881,-0.04794394,0.084957442,0.521990638,0.77012999
EEF1A1,160752.5918,0.032982599,0.04654823,0.447380303,0.717755819
SLC17A5,1001.533535,0.200706705,0.094440373,0.007804107,0.058100282
CD109,1088.178833,-0.022679544,0.10493336,0.709951883,0.879757785
COL12A1,48234.58747,-0.043921355,0.116821433,0.460554094,0.727812437
LOC119050921,1.312350516,-0.001068799,0.128314114,0.903341326,NA
LOC119050898,1386.404192,0.037919447,0.067903573,0.520895352,0.769559842
TMEM30A,4144.988393,0.033849178,0.066877721,0.526850996,0.773268587
LOC119052714,12.36242629,0.022054373,0.127657897,0.430022817,NA
FILIP1,150.6013186,0.011625314,0.119198432,0.803326086,0.927750624
SENP6,2377.467044,0.048021228,0.070709955,0.418128557,0.695712811
MYO6,6975.006176,-0.07941844,0.080911373,0.216814637,0.497935722
IMPG1,0.308029012,-0.001774449,0.128843893,0.591344101,NA
LOC128627245,0.143375777,0.00225637,0.128837663,0.833402336,NA
