Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
RADIL,105.5558538,0.039861905,0.131607134,0.734053908,0.860878422
SP2,22.86323962,0.039826719,0.224227296,0.775525409,0.887080336
GAL,0.574705588,0.039807207,0.285646146,0.26661502,NA
TSNAX,708.695628,0.039785616,0.061812178,0.510364292,0.707072169
RBPMS,3899.992978,0.03977747,0.043346199,0.353439153,0.571436551
RELB,167.5749372,0.039761817,0.122235754,0.718218527,0.851029558
SLCO6A1,0.555689923,0.039741715,0.285391644,0.318447917,NA
BMP4,3.001774486,0.039718079,0.2741655,0.644044433,0.803096349
CCDC126,232.4313863,0.039677172,0.107839988,0.691489165,0.835574437
LOC119038416,0.607441108,0.039622129,0.284652207,0.343209276,NA
NOP2,1430.560214,0.039616785,0.053831942,0.453911797,0.660445517
DMRT1,0.524359531,0.039560836,0.285460932,0.334395438,NA
CERS6,354.9148504,0.039552348,0.111809246,0.701239634,0.841694188
TAS2R3,0.625326494,0.039548239,0.284190916,0.357571543,NA
NKAIN3,10.80201694,0.039525921,0.254525177,0.725979337,0.855755431
POU5F1,0.720924382,0.039525123,0.284769365,0.350791009,NA
SMIM35,1.808050692,0.039515809,0.282480606,0.361539977,0.578392969
CDC40,740.5578026,0.039484728,0.062175828,0.515577573,0.710713331
SLC30A5,2085.674563,0.039434991,0.043129663,0.355077669,0.573005402
TRNAI-UAU_1,0.531789129,0.039367156,0.285664761,0.300763884,NA
LOC128626171,0.996069221,0.039363716,0.284590801,0.323855453,NA
LOC119041259,0.836259437,0.039347103,0.282962808,0.506334991,NA
LOC128626845,1.013131445,0.039315563,0.284528882,0.318989335,NA
LAMA4,13.06317461,0.039294148,0.249633114,0.746003677,0.86799371
PTGER4,485.570162,0.039284302,0.088033054,0.63903057,0.799229667
CLN5,123.0647987,0.039283841,0.124423351,0.726133972,0.855875792
PP2D1,476.8345953,0.039274379,0.105199456,0.688110675,0.833549575
CHID1,228.1696828,0.039238127,0.133664672,0.738917567,0.863696043
C4BPB,7.456861206,0.03922313,0.259434536,0.706896035,0.844502089
LOC119039627,0.808667307,0.03922032,0.283988194,0.330977795,NA
SLC27A2,2.295966729,0.03920046,0.280231227,0.467784633,0.671964392
LOC119039152,36.72608362,0.039141887,0.194970346,0.779560336,0.888895961
FADS6,2.598566276,0.039112803,0.275650936,0.608412896,0.779002374
CLDN9,17.49884818,0.03907072,0.228546816,0.769555677,0.883117933
VPS37A,750.0115355,0.039066973,0.061945831,0.518225974,0.712990718
LOC119053148,2.191486403,0.03905445,0.274580279,0.634959341,0.796317415
SEPTIN11,13031.42577,0.039032009,0.028720938,0.172501313,0.363393853
TMEM71,1.070114472,0.0390156,0.281708579,0.490773301,NA
LOC128626206,1.107758231,0.038994807,0.281527719,0.515926534,NA
LARP4,3944.658269,0.038985157,0.047985553,0.410008569,0.62213309
TBC1D14,957.7991689,0.038982637,0.056016025,0.477960549,0.680360797
AMFR,1241.152211,0.038968675,0.069411043,0.562373208,0.747171318
LOC119037557,3.618189888,0.038954633,0.272898608,0.647039985,0.804922089
GLI3,750.1649148,0.038930579,0.0832624,0.625279617,0.78964845
FAM83E,0.621734391,0.038920948,0.285126073,0.33394064,NA
ALDH3A1,0.682764195,0.038916679,0.284422867,0.404954331,NA
HPCAL4,13.84484066,0.038906001,0.246505327,0.710012149,0.846239335
TRIM69,6.659117087,0.038887869,0.264808933,0.690440301,0.834819996
PTP4A2,7067.848166,0.038861541,0.040709405,0.334946999,0.553343445
LOC119046110,6.446319288,0.038842181,0.253645243,0.720642581,0.852296605
LOC119038792,45.95988931,0.038836534,0.1844947,0.781513296,0.889774399
GNG4,1.037547908,0.03883599,0.283876034,0.346545699,NA
LOC128626344,0.61617971,0.038818814,0.284797009,0.338966165,NA
LOC119048413,0.680765379,0.038811146,0.285254147,0.32402325,NA
EGFLAM,0.759126336,0.038810564,0.284721518,0.369797988,NA
LOC119039459,599.2555054,0.038808012,0.125739334,0.026044761,0.096645759
LOC128626325,1.64346527,0.038806882,0.282446801,0.357867248,0.575223377
DND1,14.51563481,0.03880275,0.235376993,0.77003352,0.883337523
LOC128626408,4.900552382,0.038800177,0.266717661,0.690083321,0.834574159
ERCC3,5160.415745,0.038781129,0.032398378,0.228425947,0.435981303
LOC119043967,0.54566643,0.038742816,0.285178594,0.314221177,NA
INCA1,3.344874722,0.038716983,0.273264445,0.622209306,0.787806234
LOC128626986,0.541091091,0.038702411,0.2854656,0.31090759,NA
LOC119036348,122.7548687,0.038662699,0.13640902,0.748146144,0.869307086
WDR76,279.7467029,0.038660423,0.095612241,0.667382843,0.819405926
SUPT5H,7515.416738,0.038594314,0.034246822,0.256280973,0.468989882
SAPCD2,87.8310851,0.038555134,0.138784533,0.753223641,0.873152107
PRPH2,14.39490853,0.038541092,0.244509508,0.756237072,0.875275384
ACOT13,298.5986617,0.038527504,0.091671073,0.657667115,0.812805519
KIRREL1,4413.361648,0.038503312,0.137013812,0.750134326,0.870975379
LOC119060848,0.831167935,0.038471185,0.282725059,0.517964549,NA
LOC119040291,0.662369194,0.03846238,0.284665424,0.36622776,NA
LOC119055791,0.4395661,0.038451624,0.285746727,0.300574238,NA
LOC119055426,3.035563162,0.038412883,0.27687579,0.565598993,0.749684373
DYNC1LI1,1598.335117,0.038374974,0.048647933,0.423451564,0.633745175
TDRD15,0.666715158,0.038371595,0.285044829,0.338989994,NA
POC1A,333.1443733,0.038361271,0.093931174,0.68128268,0.828728629
DHRS7,185.5447117,0.03832776,0.109156227,0.70422569,0.84327162
XPC,956.340968,0.038269835,0.062480213,0.529793473,0.721475541
SEZ6L2,48.06931009,0.038245599,0.180436478,0.781542359,0.889774399
PKDREJ,2.408089879,0.038240382,0.280362336,0.471924233,0.675239406
TBC1D10C,1.091816598,0.038238137,0.284344478,0.35184325,NA
HSF2BP,50.28382947,0.038212645,0.163941745,0.752787841,0.872833208
CPXM1,0.749431647,0.038197863,0.282937533,0.490163034,NA
MALSU1,144.1877564,0.038189058,0.130651096,0.732962993,0.860315445
DPM2,394.5419035,0.038175603,0.095509457,0.671512634,0.822122387
TRIM11,925.2867735,0.038155595,0.061885585,0.511955685,0.708220042
SSH2,1154.019973,0.038135448,0.072308305,0.586099508,0.764220999
BCL2L15,51.54629231,0.038134538,0.183151239,0.785886315,0.892350635
LOC128627527,30.79215287,0.038111135,0.207647204,0.78729112,0.89326102
LOC128626670,0.998491658,0.038061701,0.283750929,0.339147278,NA
ALOX5,10.84637941,0.038035267,0.247140908,0.742889364,0.866333225
COG2,290.1057645,0.037979889,0.094294815,0.66967423,0.821043785
C2CD4C,1.731166942,0.037955855,0.282179322,0.373157229,0.589390334
LOC119041602,35.9228634,0.037954888,0.20233165,0.787843334,0.893634039
LOC119054937,0.7028734,0.037930809,0.283033059,0.495536934,NA
TRIP11,2132.047873,0.037916234,0.07021698,0.578140679,0.759328085
PLEKHN1,7.514664666,0.0378947,0.256785227,0.658314531,0.813358885
LOC128628430,1.330961065,0.03787465,0.279261919,0.589962739,0.766897027
LOC119057694,80.38236384,0.037872718,0.149189889,0.768271379,0.882599581
LRP1B,14.73812759,0.037866813,0.240633711,0.766963043,0.881988554
LOC128627326,235.0548505,0.037837585,0.111314421,0.711346285,0.846962103
CENPE,2439.88442,0.03781755,0.05495265,0.484105062,0.685886795
ZBTB38,5509.549512,0.037816854,0.050082522,0.442549353,0.65109699
LOC119055011,42.85050249,0.037805542,0.183731787,0.788246432,0.893846988
XBP1,1314.049094,0.037802472,0.068339058,0.569292302,0.752376411
LOC119039407,0.403089915,0.037692872,0.285546512,0.308257767,NA
RAD50,1902.087961,0.03763998,0.045499976,0.402297323,0.614976319
ATM,4650.250051,0.037627712,0.065947394,0.559063805,0.744778484
TMEM127,1001.64883,0.037625053,0.072487908,0.591206087,0.767762172
BCL2L10,0.857796482,0.037604401,0.28445181,0.362553869,NA
TSSK6,9.248111314,0.03759988,0.257308359,0.742710339,0.866265015
LOC128628090,9.975658216,0.037599876,0.253505619,0.776297048,0.887509644
LRRC66,1.69663326,0.037573166,0.282277883,0.361446703,0.578392969
BAG5,418.1546775,0.037530058,0.084588,0.642903697,0.801857995
SLC29A4,10.93084934,0.037491802,0.263961272,0.68065382,0.828629206
FBXO46,362.0695594,0.037489411,0.090897958,0.664030021,0.817445238
SLC30A6,855.8939349,0.037478325,0.057709933,0.507448665,0.704890755
LOC128627789,0.473195463,0.037463334,0.285209123,0.318287236,NA
WDHD1,1425.073507,0.037427516,0.046900595,0.453912565,0.660445517
P4HTM,544.1427302,0.037422888,0.079386083,0.6234613,0.788808287
KCNK5,119.7839,0.037410191,0.131144274,0.748202939,0.869311087
LOC119058964,0.483847939,0.037401971,0.285609569,0.616415928,NA
DCAF6,1198.385259,0.037391707,0.053384849,0.475761721,0.678517417
DOCK2,18.62847025,0.037390534,0.225310369,0.786383032,0.892665816
ASCC2,823.5947783,0.037315826,0.06052461,0.528085764,0.720112933
LOC119065701,0.72438384,0.03730458,0.284307444,0.371874512,NA
LOC119037330,0.946695045,0.0372857,0.281625906,0.49279612,NA
LOC128626372,0.540317579,0.037222843,0.284971084,0.367028566,NA
LOC119051533,1.253850327,0.037200968,0.281023784,0.494682841,NA
CELSR3,514.9719359,0.03716806,0.074044032,0.603177608,0.775990049
TRIM17,1.965535318,0.037092176,0.278787013,0.544259011,0.732255423
MUSK,0.808970544,0.03708397,0.284507929,0.362502662,NA
SOAT1,856.6299737,0.037081176,0.057261558,0.508814477,0.705945426
EAF1,2722.282255,0.037068997,0.03780928,0.322736723,0.540737498
NMNAT3,34.44029278,0.037068641,0.199298745,0.794975417,0.897810127
CNTN5,6.389346669,0.037065893,0.263238315,0.712432237,0.847759503
KIF16B,546.6763565,0.037027768,0.076566456,0.616159741,0.784413378
SENP1,515.1711451,0.036997373,0.073132254,0.662818317,0.816447056
UBN2,905.5986167,0.036995473,0.096532028,0.684114316,0.830994384
FAM107A,1.498446337,0.03696188,0.282147907,0.381793157,0.59628663
MOS,1.297254755,0.036957384,0.279676762,0.586971428,NA
MON1B,392.9814776,0.036941768,0.10020618,0.6937585,0.837216783
SERP1,633.6419469,0.036934163,0.067834859,0.575352,0.757242872
CCNJ,1779.914088,0.036928501,0.04900647,0.44453228,0.65249939
GTF2IRD2B,1568.584146,0.036920675,0.07239658,0.596862289,0.771634417
SPOCK3,30.9110303,0.036920461,0.219425597,0.766636191,0.881861638
TM9SF4,2380.307111,0.036884233,0.03653938,0.308729831,0.527687387
APOC1,3.756445163,0.036876824,0.27197541,0.652033487,0.808503358
ALK,8.312214024,0.036871586,0.25644869,0.744694104,0.867190824
